,operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,numNodes,tasksPerNode,parallelism,totalTime_beegfs,totalTime_localssd,totalTime_nfs,totalTime_tmpfs,trMiB_beegfs,trMiB_localssd,trMiB_nfs,trMiB_tmpfs,trMiB_ave_beegfs,trMiB_ave_localssd,trMiB_ave_nfs,trMiB_ave_tmpfs,selectStorage
359,0.0,0.0,1048576.0,1024.0,256.0,1.0,256.0,256.0,0.7031666666666667,,,0.025166666666666667,1457.7507666666668,,,41140.4322,6399.1683,,,106623.69868333334,beegfs
360,0.0,0.0,1048576.0,1024.0,256.0,2.0,128.0,256.0,,,4.6703,0.07043333333333333,,,219.2736,14565.647299999999,,,465.27887499999997,106623.69868333334,nfs
361,0.0,0.0,1048576.0,1024.0,256.0,4.0,64.0,256.0,0.10816666666666667,0.5952333333333334,2.3876333333333335,0.028933333333333335,9751.023433333334,1720.8477333333333,430.0262,39895.3656,6399.1683,5389.474293333333,465.27887499999997,106623.69868333334,nfs
362,0.0,0.0,1048576.0,1024.0,256.0,8.0,32.0,256.0,0.10859999999999999,0.3127,1.5537333333333334,0.005633333333333333,12778.803500000002,3347.6549666666665,661.4982,182065.0137,6399.1683,5389.474293333333,465.27887499999997,106623.69868333334,ave_nfs
363,0.0,0.0,1048576.0,1024.0,256.0,16.0,16.0,256.0,0.27316666666666667,0.1415,,0.0194,3754.2127,7237.741466666666,,55273.728500000005,6399.1683,5389.474293333333,,106623.69868333334,beegfs
364,0.0,0.0,1048576.0,1024.0,256.0,32.0,8.0,256.0,0.24139999999999998,0.07736666666666667,1.8833000000000002,0.0033333333333333335,4254.0511,13324.141966666668,550.3175,306802.0048,6399.1683,5389.474293333333,465.27887499999997,106623.69868333334,ave_nfs
365,0.0,0.0,1048576.0,1024.0,512.0,4.0,128.0,512.0,0.24950000000000003,0.7062333333333334,2.4321,0.09846666666666666,4127.747633333333,1450.2099666666666,421.09173333333337,10457.496366666666,3967.471016666667,6471.946408333333,405.21993333333336,86133.54725,ave_nfs
366,0.0,0.0,1048576.0,1024.0,512.0,8.0,64.0,512.0,0.16216666666666668,0.2711666666666667,2.4974,0.05263333333333333,6436.646066666667,3776.7432666666664,411.5626666666667,21344.8009,3967.471016666667,6471.946408333333,405.21993333333336,86133.54725,ave_nfs
367,0.0,0.0,1048576.0,1024.0,512.0,16.0,32.0,512.0,0.5342,0.1452,,0.0239,1967.9873,7053.820333333333,,45251.8541,3967.471016666667,6471.946408333333,,86133.54725,beegfs
368,0.0,0.0,1048576.0,1024.0,512.0,32.0,16.0,512.0,0.3244,0.07556666666666667,2.7024666666666666,0.0041,3337.5030666666667,13607.012066666668,383.0054,267480.03763333336,3967.471016666667,6471.946408333333,405.21993333333336,86133.54725,nfs
369,0.0,0.0,1048576.0,1024.0,1024.0,8.0,128.0,1024.0,0.2788,0.416,3.6829666666666667,0.1339,3678.0355999999997,2465.3397666666665,278.70266666666663,7764.1886,1520.9122333333335,7671.455855555556,257.2341666666667,90298.84405555557,ave_nfs
370,0.0,0.0,1048576.0,1024.0,1024.0,16.0,64.0,1024.0,1.5437,0.16266666666666665,,0.0367,663.4422666666666,6520.799,,28637.1824,1520.9122333333335,7671.455855555556,,90298.84405555557,beegfs
371,0.0,0.0,1048576.0,1024.0,1024.0,32.0,32.0,1024.0,4.636633333333333,0.073,4.3664,0.009866666666666668,221.2588333333333,14028.228799999999,235.76566666666668,234495.16116666666,1520.9122333333335,7671.455855555556,257.2341666666667,90298.84405555557,beegfs
372,0.0,0.0,1048576.0,4096.0,2048.0,16.0,128.0,2048.0,,0.7122666666666667,,0.118,,5755.6116,,34815.37433333333,,10592.15105,,67673.5654,localssd
373,0.0,0.0,1048576.0,4096.0,2048.0,32.0,64.0,2048.0,0.39453333333333335,0.2654666666666667,9.1318,0.0408,11278.386100000002,15428.690499999999,448.84203333333335,100531.75646666666,11278.386099999998,10592.15105,448.84203333333335,67673.5654,nfs
374,0.0,0.0,1048576.0,4096.0,4096.0,32.0,128.0,4096.0,,0.48819999999999997,15.355033333333333,0.1576,,8397.379833333334,266.8376666666666,26662.0923,,8397.379833333332,266.8376666666666,26662.0923,nfs
375,0.0,0.0,1048576.0,5120.0,2.0,1.0,2.0,2.0,2.9729666666666663,5.190333333333333,46.10236666666666,0.8149000000000001,2158.2952666666665,989.1232999999999,111.0573,6308.716,2893.9605166666665,986.1525,164.68826666666666,6812.25045,nfs
376,0.0,0.0,1048576.0,5120.0,2.0,2.0,1.0,2.0,1.4128,5.7438666666666665,23.451866666666664,0.7001333333333334,3629.6257666666666,983.1817,218.31923333333336,7315.7849,2893.9605166666665,986.1525,164.68826666666666,6812.25045,ave_nfs
377,0.0,0.0,1048576.0,5120.0,4.0,1.0,4.0,4.0,1.1579333333333333,6.458533333333333,45.759433333333334,0.4258,4760.9286,795.2543999999999,111.88960000000002,12065.936099999999,5596.7744555555555,1644.7575888888887,255.68268888888892,13487.403222222223,nfs
378,0.0,0.0,1048576.0,5120.0,4.0,2.0,2.0,4.0,0.8172333333333333,5.6904,23.1353,0.40090000000000003,6283.405900000001,1222.1351666666667,221.30736666666667,12772.781700000001,5596.7744555555555,1644.7575888888887,255.68268888888892,13487.403222222223,nfs
379,0.0,0.0,1048576.0,5120.0,4.0,4.0,1.0,4.0,0.8928333333333334,1.8356333333333332,11.801333333333332,0.3277333333333333,5745.988866666667,2916.8832,433.85110000000003,15623.491866666669,5596.7744555555555,1644.7575888888887,255.68268888888892,13487.403222222223,ave_nfs
