operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,254a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,255a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,256a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,257a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,346a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,349a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,350a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,351a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,352a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,353a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,355a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,356a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,357a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,435b-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,448a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,449a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,450a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
1,0,5254.535593220339,1.4782791137695312,,,0.096108918,,,,15.38128973,1,295,siftSTFByMisfit,144343-dc062,452a-ta-_ldsp.lht_iter_g1.stf,2,sG1IterDecon
